Year,Names,Number,Rank
2021,Tom,21,234
2021,Bentley,20,241
2021,Cohen,20,241
2021,Eddie,20,241
2021,Evan,20,241
2021,Otto,20,241
2021,Rocky,20,241
2021,Tai,20,241
2021,Zayden,20,241
2021,Adrian,19,249
2021,Andrew,19,249
2021,Bowie,19,249
2021,Cyrus,19,249
2021,Hemi,19,249
2021,Kahurangi,19,249
2021,Kyle,19,249
2021,Mohammad,19,249
2021,Onyx,19,249
2021,Raiden,19,249
2021,Sage,19,249
2021,Tevita,19,249
2021,Timothy,19,249
2021,Van,19,249
2021,Alfie,18,263
2021,Aryan,18,263
2021,Cody,18,263
2021,Elliott,18,263
2021,Eric,18,263
2021,Gurbaaz,18,263
2021,Hadley,18,263
2021,Ian,18,263
2021,Ivaan,18,263
2021,Jason,18,263
2021,Jimmy,18,263
2021,Kylo,18,263
2021,Kyro,18,263
2021,Lorenzo,18,263
2021,Rafael,18,263
2021,Raymond,18,263
2021,Samson,18,263
2021,Silas,18,263
2021,Xander,18,263
2021,Ziggy,18,263
2021,Bradley,17,283
2021,Conor,17,283
2021,Dallas,17,283
2021,Dante,17,283
2021,Emmanuel,17,283
2021,Francis,17,283
2021,Jaxson,17,283
2021,Kade,17,283
2021,Kaiden,17,283
2021,Kyson,17,283
2021,Lockie,17,283
2021,Omar,17,283
2021,Rico,17,283
2021,Stanley,17,283
2021,Tangaroa,17,283
2021,Taylor,17,283
2021,Viaan,17,283
2021,Zorawar,17,283
2021,Ben,16,301
2021,Greyson,16,301
2021,Hugh,16,301
2021,Ivan,16,301
2021,Jonah,16,301
2021,Knox,16,301
2021,Maddox,16,301
2021,Manaaki,16,301
2021,Matthias,16,301
2021,Rawiri,16,301
2021,Reid,16,301
2021,Rylan,16,301
2021,Taika,16,301
2021,Taimana,16,301
2021,Tamati,16,301
2021,Tristan,16,301
2021,Wolf,16,301
2021,Ali,15,318
2021,Ardie,15,318
2021,Callum,15,318
2021,Chester,15,318
2021,Christian,15,318
2021,Eden,15,318
2021,Edison,15,318
2021,Emerson,15,318
2021,Gavin,15,318
2021,Magnus,15,318
2021,Paul,15,318
2021,Reef,15,318
2021,Zac,15,318
2021,Brooks,14,331
2021,Bryn,14,331
2021,Casper,14,331
2021,Darcy,14,331
2021,Douglas,14,331
2021,Dustin,14,331
2021,Jireh,14,331
2021,Joel,14,331
2021,Mark,14,331
2021,Maximus,14,331
2021,Murphy,14,331
2021,Nicholas,14,331
2021,Nikora,14,331
2021,Raphael,14,331
2021,Remi,14,331
2021,Richard,14,331
2021,Rio,14,331
2021,Rome,14,331
2021,Sidney,14,331
2021,Solomon,14,331
2021,Sullivan,14,331
2021,Teddy,14,331
2021,Wesley,14,331
2021,Andre,13,354
2021,Bailey,13,354
2021,Bjorn,13,354
2021,Cillian,13,354
2021,Devon,13,354
2021,Julius,13,354
2021,Kaea,13,354
2021,Kaleb,13,354
2021,Loki,13,354
2021,Ralph,13,354
2021,Ruben,13,354
2021,Tadhg,13,354
2021,Tane,13,354
2021,Yusuf,13,354
2021,Zayn,13,354
2021,Zephaniah,13,354
2021,Angad,12,370
